cases,deaths,dateRep,cases_per_100k,deaths_per_1m
4255.0,156.0,2020-07-18,6.38437266418986,2.340686570184767
4259.0,148.0,2020-07-19,6.3903744246262315,2.220651361457343
4310.0,150.0,2020-07-20,6.466896870189964,2.2506601636391985
4362.0,150.0,2020-07-21,6.544919755862789,2.2506601636391985
4429.0,131.0,2020-07-22,6.645449243172007,1.9655765429115668
4495.0,122.0,2020-07-23,6.744478290372132,1.8305369330932149
4496.0,107.0,2020-07-24,6.745978730481225,1.605470916729295
4523.0,113.0,2020-07-25,6.78649061342673,1.695497323274863
4621.0,119.0,2020-07-26,6.933533744117825,1.785523729820431
4549.0,116.0,2020-07-27,6.825502056263143,1.740510526547647
4507.0,109.0,2020-07-28,6.762483571681246,1.635479718911151
3784.0,105.0,2020-07-29,5.6776653728071516,1.575462114547439
3796.0,122.0,2020-07-30,5.695670654116265,1.8305369330932149
3869.0,113.0,2020-07-31,5.805202782080039,1.695497323274863
4018.0,101.0,2020-08-01,6.028768358334867,1.515444510183727
4122.0,99.0,2020-08-02,6.184814129680518,1.4854357080018712
4444.0,96.0,2020-08-03,6.667955844808399,1.440422504729087
5001.0,94.0,2020-08-04,7.503700985573088,1.4104137025472312
5601.0,91.0,2020-08-05,8.403965051028768,1.3654004992744473
5729.0,71.0,2020-08-06,8.596021384992646,1.0653124774558873
5833.0,89.0,2020-08-07,8.752067156338297,1.3353916970925912
5824.0,81.0,2020-08-08,8.738563195356463,1.2153564883651673
5811.0,71.0,2020-08-09,8.719057473938255,1.0653124774558873
6130.0,71.0,2020-08-10,9.197697868738858,1.0653124774558873
6018.0,88.0,2020-08-11,9.029648576520465,1.3203872960016632
6496.0,83.0,2020-08-12,9.746858948666823,1.2453652905470232
6614.0,89.0,2020-08-13,9.923910881539774,1.3353916970925912
6793.0,89.0,2020-08-14,10.192489661067384,1.3353916970925912
7362.0,88.0,2020-08-15,11.046240083141187,1.3203872960016632
7681.0,88.0,2020-08-16,11.52488047794179,1.3203872960016632
7659.0,88.0,2020-08-17,11.491870795541749,1.3203872960016632
7556.0,73.0,2020-08-18,11.33732546430519,1.0953212796377434
7497.0,72.0,2020-08-19,11.248799497868715,1.0803168785468154
7300.0,68.0,2020-08-20,10.953212796377434,1.0202992741831034
7353.0,56.0,2020-08-21,11.032736122159351,0.8402464610919675
6946.0,47.0,2020-08-22,10.422056997758583,0.7052068512736156
7157.0,62.0,2020-08-23,10.738649860777164,0.9302728676375355
7158.0,63.0,2020-08-24,10.740150300886256,0.9452772687284634
7417.0,64.0,2020-08-25,11.12876428914129,0.9602816698193914
7512.0,68.0,2020-08-26,11.271306099505107,1.0202992741831034
7748.0,68.0,2020-08-27,11.625409965251007,1.0202992741831034
8088.0,74.0,2020-08-28,12.135559602342559,1.1103256807286714
8331.0,81.0,2020-08-29,12.500166548852109,1.2153564883651673
8151.0,75.0,2020-08-30,12.230087329215406,1.1253300818195993
8825.0,70.0,2020-08-31,13.241383962743953,1.0503080763649593
9259.0,68.0,2020-09-01,13.892574970090227,1.0202992741831034
9370.0,55.0,2020-09-02,14.059123822199528,0.8252420600010395
9830.0,49.0,2020-09-03,14.749326272382214,0.7352156534554716
